raw_agent,occurrence_count,agency
Capes Shipping,717,Capes
Capes Southport,2,Capes
T Parker,20521,hOST
Transmarine,4685,HOST
Norton Lilly,25566,Norton Lilly
Norton Lilly Dest,23187,Norton Lilly
Tricon,8438,Tricon
Revelle,2794,Tricon
Southport,36051,Same as raw
Blue Water,20740,Same as raw
Inchcape,15536,Same as raw
Bertel,13640,Same as raw
Gulf Inland,12008,Same as raw
General Steamship,10826,Same as raw
General Maritime,10197,Same as raw
Moran Shipping,8911,Same as raw
Nova,8641,Same as raw
GAC,8640,Same as raw
Newship,7434,Same as raw
Biehl,6672,Same as raw
Gulf Harbor,5621,Same as raw
Celtic,4835,Same as raw
NordSud,4708,Same as raw
NolaPort,3858,Same as raw
Riverbend,2802,Same as raw
K3 Maritime,2585,Same as raw
Maritime Endeavors,2430,Same as raw
Riley-Sherman,1814,Same as raw
Lighthouse,1461,Same as raw
K&C,1362,Same as raw
Fillette Green,1319,Same as raw
Lott,1264,Same as raw
Seaport Hub,1049,Same as raw
Wilhelmsen,1039,Same as raw
VertomCory,946,Same as raw
Valhalla,616,Same as raw
Mentz,604,Same as raw
Riverside,493,Same as raw
Navigo,308,Same as raw
Intercruises,162,Same as raw
Page and Jones,75,Same as raw
,,Same as raw
