vessel_name,record_count,first_seen,last_seen,distinct_imo_raw_values,forms_complete_enter_exit_transit
Allisonk,5990,2022-01-20 20:19:00,2025-09-29 12:36:00,,False
Allins K,1550,2021-10-01 08:30:00,2022-01-20 13:29:00,,False
Keeneland,709,2021-04-06 00:28:00,2021-05-25 06:27:00,,False
Ginny Lab,623,2019-05-23 16:44:00,2022-02-23 17:02:00,569,True
Dixie Raider,167,2019-05-07 18:00:00,2020-04-08 19:59:00,,False
Jesse A Mollineaux,99,2019-12-19 10:15:00,2019-12-23 09:53:00,,False
Sarah Dann,50,2019-02-28 07:18:00,2023-06-12 15:43:00,,True
Shop,16,2022-12-03 18:34:00,2026-01-15 15:06:00,,False
Kritical Mass,15,2019-10-28 05:19:00,2024-09-09 19:38:00,,True
Usace Mat Sink Unit,15,2019-01-01 14:11:00,2023-01-25 08:12:00,,False
French Warship,13,2022-04-18 09:03:00,2025-04-26 16:44:00,,True
T Jungfrau,10,2023-09-27 08:12:00,2023-10-13 14:21:00,,True
Rayshell Lee,8,2025-08-14 12:52:00,2025-08-14 18:57:00,,False
Rbns Mashhoor,8,2020-12-22 21:41:00,2020-12-23 07:12:00,,False
Heino,7,2020-06-19 04:31:00,2020-06-26 08:46:00,,True
Cg Eagle,6,2026-05-27 06:46:00,2026-06-01 18:01:00,,True
Sea Rhino,6,2025-08-12 15:40:00,2025-08-16 04:55:00,,False
Abc Test,5,2020-08-01 15:23:00,2024-08-17 07:54:00,,False
Charles Alfred,4,2026-07-20 23:30:00,2026-07-22 03:03:00,,False
Corinthian,4,2019-02-27 17:25:00,2019-03-06 15:59:00,,True
Valor Tender Boat 20,4,2022-06-13 10:44:00,2022-06-13 11:22:00,,False
Capt Ken Scarbrough,2,2026-04-12 17:33:00,2026-04-12 17:36:00,,False
Vamoose,2,2020-12-07 15:21:00,2020-12-07 15:28:00,,False
