carrier_name,name_normalized,cert_date,reason,line_count,metric_ton_total,candidate_pool_size,fgis_record_id,ambiguous_vessel_keys,resolved_vessel_key,reviewer_note
AQUITANIA,AQUITANIA,2024-10-13,unmatched_ambiguous,3,67442.0,11,UNMATCHED-AQUITANIA-20241013,"1199, 5239",,
AGHIA SKEPI,AGHIASKEPI,2019-03-27,unmatched_no_candidate,2,49490.0,6,UNMATCHED-AGHIASKEPI-20190327,,,
MAESTRO PEARL,MAESTROPEARL,2019-08-14,unmatched_no_candidate,1,27231.0,5,UNMATCHED-MAESTROPEARL-20190814,,,
SUNSHINE,SUNSHINE,2019-08-16,unmatched_no_candidate,1,13530.0,11,UNMATCHED-SUNSHINE-20190816,,,
SEAS I,SEASI,2019-10-09,unmatched_no_candidate,1,22976.0,5,UNMATCHED-SEASI-20191009,,,
CRISTINA B,CRISTINAB,2019-10-12,unmatched_no_candidate,1,66055.0,7,UNMATCHED-CRISTINAB-20191012,,,
TRUSTIN TRADER II,TRUSTINTRADERII,2019-11-02,unmatched_no_candidate,1,69890.0,11,UNMATCHED-TRUSTINTRADERII-20191102,,,
CEMTEX INNOVATION,CEMTEXINNOVATION,2019-11-14,unmatched_no_candidate,1,40117.0,4,UNMATCHED-CEMTEXINNOVATION-20191114,,,
CEMTEX INNOVATION,CEMTEXINNOVATION,2019-11-15,unmatched_no_candidate,1,29095.0,6,UNMATCHED-CEMTEXINNOVATION-20191115,,,
NIKKEI PROGERSSO,NIKKEIPROGERSSO,2019-12-20,unmatched_no_candidate,1,9232.0,7,UNMATCHED-NIKKEIPROGERSSO-20191220,,,
CEMTEX HONOR,CEMTEXHONOR,2020-01-01,unmatched_no_candidate,1,72599.0,4,UNMATCHED-CEMTEXHONOR-20200101,,,
STORM RIDER,STORMRIDER,2020-08-04,unmatched_no_candidate,1,22000.0,7,UNMATCHED-STORMRIDER-20200804,,,
HAMBURG PEARL,HAMBURGPEARL,2020-08-09,unmatched_no_candidate,1,27973.0,3,UNMATCHED-HAMBURGPEARL-20200809,,,
NAVIOS PROSPERITY I,NAVIOSPROSPERITYI,2020-08-13,unmatched_no_candidate,1,63046.0,9,UNMATCHED-NAVIOSPROSPERITYI-20200813,,,
HARVEST TIME,HARVESTTIME,2020-08-14,unmatched_no_candidate,1,85560.0,5,UNMATCHED-HARVESTTIME-20200814,,,
REGO,REGO,2020-08-16,unmatched_no_candidate,1,30632.0,5,UNMATCHED-REGO-20200816,,,
