imo,vessel_name,vessel_type,events,first_seen,last_seen
9236389,Carnival Valor,Passenger,1760,2019-05-11,2026-07-31
9505974,Bonita Aki,Tanker,765,2019-01-13,2026-07-17
9198367,Carnival Glory,Passenger,759,2019-03-01,2024-03-25
9374454,Seaboard Pioneer,Container,536,2019-01-12,2026-07-25
9799109,White Star,Tanker,498,2019-01-21,2026-07-14
9354222,Gas Flawless,Gas,492,2020-08-18,2026-07-25
9278181,Carnival Liberty,Passenger,435,2024-05-05,2026-07-27
9798947,Ladybower,Gas,434,2021-06-30,2026-07-19
9294513,Seaboard Pride,Container,412,2020-11-02,2026-07-31
9196711,Stolt Viking,Tanker,406,2019-08-24,2025-07-25
9480370,Beylerbeyi,Gas,397,2020-01-31,2026-04-01
9799111,White Horse,Tanker,353,2020-10-13,2026-06-13
9803118,Da Wei Shan,Tanker,341,2019-01-01,2026-04-09
9306471,Galloway,Container,332,2020-01-30,2024-02-24
9435038,Seaspan Calicanto,Container,323,2020-07-22,2024-06-20
9606912,Norwegian Breakaway,Passenger,318,2019-01-05,2024-04-07
9341902,Epic Madeira,Tanker,312,2022-02-15,2024-12-09
9733557,Epic Samos,Gas,308,2022-10-10,2026-06-18
9149512,Stolt Sun,Tanker,294,2019-06-17,2026-05-02
9713624,Epic Sula,Tanker,290,2019-01-07,2021-06-21
9739549,Kazak,Gas,281,2022-09-14,2026-07-28
9743825,Brillante,Tanker,278,2019-06-12,2026-07-23
9558945,Beykoz,Tanker,268,2020-03-22,2022-11-20
9652753,Kirkby,Tanker,249,2022-12-02,2026-07-22
9392236,Bwek Manhattan,Gas,235,2023-02-01,2026-06-30
9743849,Bochem London,Tanker,235,2019-01-13,2025-05-24
9168611,Stolt Spray,Tanker,230,2019-04-10,2025-05-30
9178202,Stolt Effort,Tanker,222,2019-03-06,2026-03-01
9263954,Asphalt Sailor,Tanker,213,2019-02-05,2022-06-13
9749453,Ensemble,Tanker,212,2019-04-06,2025-12-22
9802580,Jin Zhou Wan,Tanker,211,2019-03-09,2026-07-10
9758789,Chemical Hunter,Tanker,209,2019-01-05,2026-04-19
8506995,Kelly,Other,208,2019-01-13,2026-06-06
9124471,Stolt Perseverance,Tanker,206,2019-02-05,2026-04-22
9124469,Stolt Achievement,Tanker,206,2019-03-04,2026-07-31
9241475,Nordbaltic,Container,206,2019-01-01,2021-10-06
9606924,Norwegian Getaway,Passenger,194,2019-11-07,2025-04-21
9827475,Chemical Enterprise,Tanker,193,2019-03-13,2026-01-08
9790634,Menuett,Tanker,193,2019-11-26,2026-05-30
9200691,Brussels,Container,191,2019-01-07,2025-04-07
9810654,Prelude,Tanker,190,2021-04-11,2025-09-17
9422677,Mari Galaxy,Tanker,188,2019-02-25,2026-07-14
9804930,Niseko Galaxy,Tanker,184,2021-03-07,2025-01-04
9970959,Seaboard Galaxy,Container,181,2024-04-06,2026-07-18
9749441,Arpeggio,Tanker,177,2019-10-17,2026-07-09
9847140,Chemical Contender,Tanker,176,2019-07-02,2026-05-11
9102100,Stolt Invention,Tanker,173,2019-08-07,2026-07-09
9311787,As Cleopatra,Container,171,2019-04-24,2021-06-29
9779745,Da Ming Shan,Tanker,170,2021-03-16,2026-07-31
9790658,Bow Performer,Tanker,169,2019-07-02,2025-07-28
9747120,Egret,Tanker,168,2019-01-03,2026-01-09
9102112,Stolt Efficiency,Tanker,168,2019-07-07,2026-03-15
9535187,Hermann Schulte,Container,166,2019-01-28,2026-07-03
9760562,Fanfare,Tanker,165,2019-01-06,2025-01-11
9168623,Stolt Surf,Tanker,165,2020-07-17,2025-10-21
9519523,Epic Bali,Tanker,162,2019-02-14,2023-01-29
9711482,Epic Sicily,Gas,161,2024-05-23,2026-07-18
9260847,Scot Leipzig,Tanker,158,2019-01-29,2026-07-17
9800116,Nordic Aqua,Tanker,156,2019-05-05,2026-02-25
9136955,Bold Mariner,Bulk,156,2019-01-10,2020-05-03
9220421,Epic Balta,Tanker,156,2019-01-22,2020-08-22
9316232,Chemtrans Nova,Tanker,152,2019-08-05,2026-07-01
9178197,Stolt Concept,Tanker,150,2019-07-03,2026-06-06
9705756,Chem New Orleans,Tanker,143,2019-02-02,2026-07-18
9102095,Stolt Creativity,Tanker,143,2019-11-05,2026-05-08
9680097,Stolt Integrity,Tanker,142,2019-03-19,2026-01-26
