imo,name_of_ship_ref,ship_type_ref,ship_type_group,dwt,tpc
1012335,OKTO,Yacht,Yacht,180,0
1012919,SHODAN,Yacht,Yacht,723,0
1013169,MSC SERENA,Container Ship (Fully Cellular),Containership-Sub New Panamax,139647,0
1013171,MSC ELIANA,Container Ship (Fully Cellular),Containership-Sub New Panamax,139647,0
1013183,MSC EMILIA,Container Ship (Fully Cellular),Containership-Sub New Panamax,139647,0
1013315,MARTA COSULICH,Chemical/Products Tanker,"Tanker-7,500-9,999dwt",7957,17.5
1013327,MARINE GINZA,Chemical/Products Tanker,"Tanker-7,500-9,999dwt",7950,17.5
1013353,MAERSK FINISTERRE,Container Ship (Fully Cellular),Containership-Post-Panamax,76141,0
1013365,MAERSK FRIO,Container Ship (Fully Cellular),Containership-Post-Panamax,76336,0
1013377,ANTWERPEN,LPG Tanker,LPG-Large Gas Carrier,33525,0
1013389,ARLON,LPG Tanker,LPG-Large Gas Carrier,27055,0
1013391,METRO VENETIAN,Crude/Oil Products Tanker,Tanker-LR2,114934,98.5
1013432,JFE KOKURYU,Ro-Ro Cargo Ship,Ro-ro cargo <=499 LM,5026,0
1013494,SEA ENERGY,LNG Tanker,LNG-New Panamax,94800,0
1013638,SG DAWN,Bulk Carrier,Bulk Carrier-Newcastlemax,210125,0
1013640,CAPE SUZURAN,Bulk Carrier,Bulk Carrier-Capesize,182098,0
1013652,BOOTES,Bulk Carrier,Bulk Carrier-Handymax,40093,0
1013664,AFRICAN PEACOCK,Bulk Carrier,Bulk Carrier-Handymax,40093,0
1013676,AQUADONNA,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63526,0
1013688,SORAL,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63771,0
1013690,TRINITY ISLAND,Bulk Carrier,Bulk Carrier-Handymax,40490,0
1013705,AFRICAN LORIKEET,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63425,0
1013717,HONG FA 199,Aggregates Carrier,Aggregates Carrier,11082,0
1013834,GAS YONGJIANG,LPG Tanker,LPG-Very Large Gas Carrier,60454,73.5
1013846,GAS MINJIANG,LPG Tanker,LPG-Very Large Gas Carrier,60322,73.5
1013901,INA DIAMOND 51,General Cargo Ship,"General Cargo 5,000-9,999 dwt",6743,0
1013937,JEFFREYS BAY,Chemical/Products Tanker,Tanker-MR2,49999,53.6
1013949,NORD MATE,Chemical/Products Tanker,Tanker-MR2,49999,53
1013951,UM EDO,Chemical/Products Tanker,Tanker-MR2,49948,53.6
1013963,STENA CONQUEST,Chemical/Products Tanker,Tanker-MR2,49948,53.6
1013987,JAL PRERANA,Chemical/Products Tanker,Tanker-MR2,50640,53.2
1013999,JAL KAILASH,Chemical/Products Tanker,Tanker-MR2,50658,53.2
1014008,JAL KALP,Chemical/Products Tanker,Tanker-MR2,50664,53.2
1014010,JAL KAVERI,Chemical/Products Tanker,Tanker-MR2,50645,53.2
1014022,SEAEXPLORER,Chemical/Products Tanker,Tanker-MR2,50498,53.2
1014034,SEAMERIT,Chemical/Products Tanker,Tanker-MR2,50498,53.2
1014046,FARRA ROISIN,Crew/Supply Vessel,Crew/Supply Vessel,50,0
1014058,GAS KING,LPG Tanker,LPG-Very Large Gas Carrier,57447,0
1014060,EXPRESS 96,Crew/Supply Vessel,Crew/Supply Vessel,115,0
1014072,GAS QUEEN,LPG Tanker,LPG-Very Large Gas Carrier,57447,0
1014096,ISABELLA,Crude/Oil Products Tanker,Tanker-LR2,113959,99.9
1014101,SEAWISH,Crude/Oil Products Tanker,Tanker-LR2,113949,99.9
1014125,FEDERAL INFINITY,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63653,0
1014137,CHARIOTEER,Bulk Carrier,Bulk Carrier-Handymax,40101,0
1014149,SHIMANAMI ELEVEN,General Cargo Ship,"General Cargo 10,000-14,999dwt",11717,0
1014151,ISE BAY,Bulk Carrier,Bulk Carrier-Handymax,40101,0
1014163,CRIMSON SAPPHIRE,Bulk Carrier,Bulk Carrier-Handymax,40435,0
1014199,WIND CORE,General Cargo Ship,"General Cargo 10,000-14,999dwt",11722,0
1014216,KYOKUKAI MARU,Products Tanker,"Tanker-5,000-7,499dwt",5564,0
1014228,KARA,Chemical/Products Tanker,"Tanker-<=4,999dwt",4075,0
1014242,NORD NEWPORT,Bulk Carrier,Bulk Carrier-Handymax,40297,0
1014254,ARIETTA,General Cargo Ship,"General Cargo 10,000-14,999dwt",13465,0
1014280,TSUNOMINE BULKER,Bulk Carrier,Bulk Carrier-Handymax,40550,0
1014292,PAIWAN BRAVE,Bulk Carrier,Bulk Carrier-Large Handy,39793,0
1014307,PAIWAN CHAMPION,Bulk Carrier,Bulk Carrier-Large Handy,39785,0
1014319,HORIZON TRADER,Bulk Carrier,Bulk Carrier-Handymax,40598,0
1014321,YUUSEI,Powder Carrier,Powder Carrier,2282,0
1014369,OCEAN TRADER,Bulk Carrier,Bulk Carrier-Handymax,40552,0
1014371,PALADIN TRADER,Bulk Carrier,Bulk Carrier-Handymax,40546,0
1014383,VIVIAN TRADER,Bulk Carrier,Bulk Carrier-Handymax,40572,0
1014395,AVALON TRADER,Bulk Carrier,Bulk Carrier-Handymax,40569,0
1014424,BRAVE EAGLE,Bulk Carrier,Bulk Carrier-Handymax,40483,0
1014436,BRAVE HAWK,Bulk Carrier,Bulk Carrier-Handymax,40492,0
1014462,NATURE FLOWING,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63692,0
1014474,OCEAN FLOWING,Bulk Carrier,Bulk Carrier-Supra/Ultramax,63684,0
1014527,BL IVY,Wood Chips Carrier,Bulk Carrier-Pmax/Kamsarmax,71059,0
1014541,EL JUNIPER,Wood Chips Carrier,Bulk Carrier-Pmax/Kamsarmax,71085,0
1014553,FL KINGWOOD,Wood Chips Carrier,Bulk Carrier-Pmax/Kamsarmax,71059,0
1014565,SL LARCH,Wood Chips Carrier,Bulk Carrier-Pmax/Kamsarmax,71058,0
1014577,AQUAGRACE,Bulk Carrier,Bulk Carrier-Supra/Ultramax,64678,0
1014589,AQUAGLORY,Bulk Carrier,Bulk Carrier-Supra/Ultramax,64650,0
1014591,NEW ACACIA,Bulk Carrier,Bulk Carrier-Large Handy,39415,0
1014606,SEA GOAT,Bulk Carrier,Bulk Carrier-Handymax,40255,0
1014618,BIRD OF PARADISE,Bulk Carrier,Bulk Carrier-Handymax,40259,0
