raw_type,occurrence_count,vessel_type,rules,vessel_type_group
Bulk,123640,Bulk,Can never be a liquid cargo,
Gen,16752,Bulk,Can never be a liquid cargo,
Lift,144,Bulk,Can never be a liquid cargo,
Obo,11,Bulk,Can never be a liquid cargo,
Cont,14803,Container,Can never be a liquid cargo,
Gas,4363,Gas,Can never be a liquid or dry cargo,
TPD,110,Other,Can never be a liquid cargo,
Barge,99,Other,Can never be a liquid cargo,
Other,38,Other,Can never be a liquid cargo,
Sail,24,Other,Can never be a liquid cargo,
SEMI,20,Other,Can never be a liquid cargo,
Ship,10,Other,Can never be a liquid cargo,
TRAN,8,Other,Can never be a liquid cargo,
SRVY,6,Other,Can never be a liquid cargo,
Yacht,6,Other,Can never be a liquid cargo,
CREW,5,Other,Can never be a liquid cargo,
Navy,4,Other,Can never be a liquid cargo,
OTHR,4,Other,Can never be a liquid cargo,
0,2,Other,Can never be a liquid cargo,
Pass,4136,Passenger,Can never be a liquid or dry cargo,
Reef,287,Reefer,Can never be a liquid cargo,
Tank,83825,Tanker,Can never be a dry cargo,
