raw_zone,source_category,occurrence_count,most_common_mile_in_data,berth_label,facility,facility_type,ops,Cargo group,Rule,Note,canonical_mile
Capline St James 2,Terminal,6,159.0,,Capline St James,Tank Storage,Load/Discharge,Liquid Bulk,Can never by a dry bulk cargo,Apply always,
Capline St James 1,Terminal,2,159.0,,Capline St James,Tank Storage,Load/Discharge,Liquid Bulk,Can never by a dry bulk cargo,Apply always,
IMTT St Rose 8,Terminal,864,118.0,,IMTT St Rose,Tank Storage,Load/Discharge,Liquid Bulk,Can never by a dry bulk cargo,Apply always,
IMTT St Rose 14,Terminal,687,118.0,,IMTT St Rose,Tank Storage,Load/Discharge,Liquid Bulk,Can never by a dry bulk cargo,Apply always,
IMTT St Rose 4,Terminal,1194,119.0,,IMTT St Rose,Tank Storage,Load/Discharge,Liquid Bulk,Can never by a dry bulk cargo,Apply always,
IMTT St Rose 2,Terminal,966,119.0,,IMTT St Rose,Tank Storage,Load/Discharge,Liquid Bulk,Can never by a dry bulk cargo,Apply always,
KMI Harvey 3,Terminal,87,98.0,,KMI Harvey,Tank Storage,Load/Discharge,Liquid Bulk,Can never by a dry bulk cargo,Apply always,
KMI Harvey 4,Terminal,820,99.0,,KMI Harvey,Tank Storage,Load/Discharge,Liquid Bulk,Can never by a dry bulk cargo,Apply always,
KMI Harvey 2,Terminal,871,99.0,,KMI Harvey,Tank Storage,Load/Discharge,Liquid Bulk,Can never by a dry bulk cargo,Apply always,
KMI Harvey 1,Terminal,121,99.0,,KMI Harvey,Tank Storage,Load/Discharge,Liquid Bulk,Can never by a dry bulk cargo,Apply always,
Magellan Marrero 2,Terminal,168,99.0,,Magellan Marrero,Tank Storage,Load/Discharge,Liquid Bulk,Can never by a dry bulk cargo,Apply always,
Magellan Marrero 1,Terminal,11,99.0,,Magellan Marrero,Tank Storage,Load/Discharge,Liquid Bulk,Can never by a dry bulk cargo,Apply always,
Buckeye Marrero 2,Terminal,31,99.0,,Magellan Marrero,Tank Storage,Load/Discharge,Liquid Bulk,Can never by a dry bulk cargo,Apply always,
Magellan Marrero 3,Terminal,12,100.0,,Magellan Marrero,Tank Storage,Load/Discharge,Liquid Bulk,Can never by a dry bulk cargo,Apply always,
MPLX Mt Airy 2,Terminal,193,144.0,,MPLX Mt Airy,Tank Storage,Load/Discharge,Liquid Bulk,Can never by a dry bulk cargo,Apply always,
MPLX Mt Airy 1,Terminal,66,144.0,,MPLX Mt Airy,Tank Storage,Load/Discharge,Liquid Bulk,Can never by a dry bulk cargo,Apply always,
NuStar St James 5,Terminal,21,160.0,,NuStar St James,Tank Storage,Load/Discharge,Liquid Bulk,Can never by a dry bulk cargo,Apply always,
NuStar St James 2,Terminal,169,160.0,,NuStar St James,Tank Storage,Load/Discharge,Liquid Bulk,Can never by a dry bulk cargo,Apply always,
Phillips 66 Alliance 2,Terminal,292,63.0,,P66 Alliance,Tank Storage,Load/Discharge,Liquid Bulk,Can never by a dry bulk cargo,Apply always,
Phillips 66 Alliance 1,Terminal,218,63.0,,P66 Alliance,Tank Storage,Load/Discharge,Liquid Bulk,Can never by a dry bulk cargo,Apply always,
Chevron Empire,Terminal,134,27.0,,Same as raw zone,Tank Storage,Load/Discharge,Liquid Bulk,Can never by a dry bulk cargo,Apply always,
Chevron Oak Point,Terminal,317,72.0,,Same as raw zone,Tank Storage,Load/Discharge,Liquid Bulk,Can never by a dry bulk cargo,Apply always,
IMTT Gretna,Terminal,1031,97.0,,Same as raw zone,Tank Storage,Load/Discharge,Liquid Bulk,Can never by a dry bulk cargo,Apply always,
Blackwater Harvey,Terminal,557,98.0,,Same as raw zone,Tank Storage,Load/Discharge,Liquid Bulk,Can never by a dry bulk cargo,Apply always,
